MUNICIPI,LATITUD,LONGITUD
Baronia de Rialb,41.9279041288,1.1980435576
Vespella de Gaià,41.1952451805,1.3625673042
Palau de Santa Eulàlia,42.1738776107,2.964182186
Vilanova de Meià,41.9956,1.02348
Febró,41.2772465783,1.0051020236
Terrades,42.3102946129,2.8389743968
Senterada,42.3264003566,0.938581835
Badalona,41.4500016728,2.2478747585
Lladó,42.2479569605,2.8132806468
Vilanova i la Geltrú,41.2240909069,1.7259383028
Pacs del Penedès,41.3611011,1.6696949
Biosca,41.8417263599,1.3581584095
Balsareny,41.8631770827,1.8768371109
Vilobí d'Onyar,41.88834262,2.7428121513
Tiana,41.4817465431,2.2690239435
Celrà,42.0271475518,2.8758419206
Òdena,41.6066030224,1.6425943993
Vallfogona de Riucorb,41.5627721612,1.2361854011
Montmeló,41.5515265131,2.2481960395
Belianes,41.5617732469,1.0175370356
Palau-solità i Plegamans,41.5875925603,2.1784158871
Premià de Mar,41.4893959771,2.3566971108
Santa Fe del Penedès,41.3845654612,1.720962449
Piera,41.5181456,1.7435025
Montmaneu,41.6258339,1.4146713
Terrassa,41.562961055,2.0102715356
Maçanet de la Selva,41.776330796,2.7314543352
Rubió,41.6444230561,1.5700383962
Estaràs,41.6879369394,1.3925238246
Algerri,41.8161493,0.6385993
Olèrdola,41.3211299498,1.721671208
Beuda,42.215585,2.6439469
Forallac,41.9590846851,3.0554276424
Castellserà,41.7468820361,0.9858610158
Sant Just Desvern,41.3859327735,2.0755654333
Benavent de Segrià,41.6946853871,0.6344593379
Guimerà,41.5641625477,1.1835947085
Castellar de n'Hug,42.28221609,2.0168047607
Albinyana,41.2455740665,1.4861901749
Santa Cecília de Voltregà,41.9932144294,2.2223881289
Querol,41.4226428171,1.3972030396
Montoliu de Lleida,41.560499595,0.5887609588
Móra d'Ebre,41.0932181,0.6417601
Riudecols,41.1704364191,0.977037482
Esponellà,42.17784,2.79523
Igualada,41.5787365231,1.6175342706
Calldetenes,41.9243226679,2.2844321307
Montcada i Reixac,41.4795409277,2.1873557743
Figueres,42.2673255741,2.960632757
Soleràs,41.4134634901,0.6833165796
Pinell de Brai,41.0177642388,0.5156160994
Brull,41.8168008375,2.3050935645
Santa Maria de Palautordera,41.693039169,2.4460854253
Torredembarra,41.1459108106,1.3959048994
Montbrió del Camp,41.1207692529,1.0034536804
Alella,41.4936685738,2.2951066474
Darnius,42.36815,2.83221
Guiamets,41.1019034373,0.7521371365
Cervià de les Garrigues,41.4274049,0.8609602
Vajol,42.4039412,2.7992833
Sant Martí de Llémena,42.0359573185,2.6475037462
Llosses,42.198849,2.1933386
Massalcoreig,41.4591649367,0.3590626978
Aleixar,41.2016857865,1.0461769558
Olius,41.9777564631,1.5549869396
Orís,42.0581983628,2.2387412852
Sant Fost de Campsentelles,41.5187474568,2.2329168387
Omells de na Gaia,41.4999482476,1.0748267705
Sant Pere de Torelló,42.0758420343,2.2957691286
Pira,41.4242814289,1.2025100614
Golmés,41.6322019035,0.9327559229
Pont de Molins,42.3158678853,2.9302241953
Preixens,41.7925283063,1.0475177489
Llobera,41.922238032,1.4633249738
Parlavà,42.0240824621,3.032261898
Castellfollit del Boix,41.6667584354,1.6836748797
Prullans,42.3777838621,1.7381204538
Espluga Calba,41.4949464781,1.0051897987
Cabanes,42.3070296448,2.9779553858
Ivars de Noguera,41.8503377879,0.5860161204
Rialp,42.4441492413,1.1355845105
Masllorenç,41.2688168252,1.4126668127
Begues,41.3302237211,1.9247529545
Santa Eulàlia de Riuprimer,41.9108809113,2.1880745032
Sant Guim de Freixenet,41.6556554921,1.4185946234
Hospitalet de Llobregat,41.3594915011,2.0997036985
Alguaire,41.7361796992,0.5838768448
Fortià,42.2423932358,3.0403372003
Sant Carles de la Ràpita,40.6201618918,0.5925900532
Pratdip,41.0515436915,0.8715596147
Lles de Cerdanya,42.39055,1.68762
Sant Sadurní d'Anoia,41.4240894094,1.7867583669
Lloar,41.1858614422,0.7509829839
Sant Bartomeu del Grau,41.980639419,2.1763081832
Besalú,42.1988873351,2.69940708
Sant Pau de Segúries,42.2615213859,2.3647405102
Santa Pau,42.1450059066,2.5696788168
Vilanova de la Barca,41.6911914109,0.7291467633
Copons,41.6364862517,1.5186327828
Centelles,41.79807,2.2180943
Cercs,42.1460611217,1.8619801022
Mont-ral,41.2629421,1.1702665
Llagostera,41.8288900115,2.8921616777
Ginestar,41.0422597456,0.6343860015
Santpedor,41.7832491008,1.8390949602
Ivorra,41.771979389,1.3957461033
Pla de Santa Maria,41.3655763801,1.2887683268
Granollers,41.608160169,2.2873099918
Guils de Cerdanya,42.448739833,1.8800724272
Santa Maria d'Oló,41.874,2.035
Sant Joan de les Abadesses,42.2326602084,2.2849071539
Capmany,42.3724212359,2.9205270713
Canyelles,41.2882185755,1.723174575
Reus,41.1553174356,1.1088008875
Puigdàlber,41.4039802837,1.7006618403
Torms,41.3942089661,0.7197884486
Sunyer,41.5234396311,0.5917271444
Viver i Serrateix,41.946728424,1.7785306496
Nulles,41.2494164263,1.2952253372
Tarroja de Segarra,41.7328488192,1.2769104455
Vilaür,42.1434956367,2.9549681158
Premià de Dalt,41.50818033,2.3457355254
Pinós,41.8286273479,1.5431801383
Rodonyà,41.279739535,1.3990279815
Sant Miquel de Campmajor,42.1259334132,2.6843029615
Sant Andreu de Llavaneres,41.5745035522,2.4833567442
Pallaresos,41.173996332,1.272543456
Callús,41.7813451992,1.7839801111
Argentona,41.5555804387,2.4005788373
Torroella de Fluvià,42.1748243945,3.0409708384
Vinaixa,41.4277841543,0.9751242587
Odèn,42.1354731774,1.3881845486
Vilaller,42.4762668035,0.7165905908
Horta de Sant Joan,40.9538376162,0.3167967819
Vallcebre,42.2035507,1.8180608
Abrera,41.5160669381,1.901457284
Miralcamp,41.6064996679,0.8793705342
Godall,40.6555242196,0.4685311151
Arenys de Munt,41.6113917178,2.5395197339
Bescanó,41.9655087237,2.743202726
Sant Pere Sallavinera,41.7382011193,1.5755653834
Esquirol,42.0350761892,2.368362597
Bellmunt del Priorat,41.1639087613,0.7655509886
Duesaigües,41.1461049333,0.9307239008
Crespià,42.1877850824,2.7978194374
Riner,41.9435101781,1.5649962339
Morera de Montsant,41.2480780453,0.8113152984
Ogassa,42.2657902604,2.2770867205
Llívia,42.4649598704,1.9821548406
Catllar,41.1754600113,1.3262935518
Vallromanes,41.53178193,2.2981191652
Riba-roja d'Ebre,41.250705944,0.4876352183
Gisclareny,42.2502121,1.8660041
Gironella,42.0335140331,1.8827889804
Vallirana,41.3879476,1.9318337
Castellnou de Seana,41.6482688722,0.9711496267
Organyà,42.2085463362,1.3277786338
Masquefa,41.5021586,1.8113091
Ullastrell,41.527004659,1.9567237542
Calders,41.7892959149,1.9918959727
Miravet,41.0380213354,0.5975887841
Tavèrnoles,41.9531659798,2.3266645926
Sant Quintí de Mediona,41.4620598971,1.6628867798
Montblanc,41.3747828,1.1627453
Gallifa,41.6931569239,2.1154035219
Peramola,42.0575025302,1.2681069384
Mont-roig del Camp,41.0840936966,0.9572379037
Cruïlles Monells i Sant Sadurní de l'Heura,41.9561701,2.9906226
Oliana,42.0662792375,1.3130592329
Sallent,41.8242067084,1.8943237567
Térmens,41.7172517301,0.7605329449
Santa Llogaia d'Àlguema,42.2338584978,2.9532638193
Das,42.362661321,1.8720057751
Pallejà,41.4174888,1.9595245
Lluçà,42.0681648458,2.0733273872
Sant Julià de Vilatorta,41.9225256859,2.3255929206
Salt,41.9745711596,2.7930083428
Polinyà,41.5574977172,2.1562560666
Espunyola,42.0533614682,1.7711839292
Cubelles,41.2081850749,1.6724457008
Granyena de Segarra,41.6238423,1.2470969
Bellaguarda,41.3367880202,0.7385263259
Sant Adrià de Besòs,41.4300852616,2.2179985677
Riu de Cerdanya,42.3456389893,1.8262600449
Pobla de Montornès,41.1786677017,1.4145391636
Sant Quirze del Vallès,41.5330652898,2.0807466005
Colomers,42.0842168264,2.9873340088
Torregrossa,41.5801736197,0.8319083929
Guissona,41.7845899542,1.2880585361
Torrelles de Llobregat,41.3589182277,1.9812857375
Dosrius,41.5946878115,2.4058981622
Vinyols i els Arcs,41.1136659242,1.0392485389
Arenys de Mar,41.5795439,2.5513514
Rajadell,41.7276384349,1.7060407797
Aiguamúrcia,41.3463232354,1.3629514121
Sant Pol de Mar,41.6001564297,2.6213344267
Palafolls,41.6671142102,2.7492604463
Ascó,41.1808605212,0.5670995116
Granyanella,41.62327,1.24502
Sentiu de Sió,41.8052177063,0.877774049
Boadella i les Escaules,42.3322388,2.8591944
Torrelameu,41.703894759,0.7044551757
Malgrat de Mar,41.6458309092,2.7415123575
Vallgorguina,41.6474981815,2.5106076945
Fontanilles,42.0098932276,3.1072859944
Roquetes,40.8224848136,0.5038744298
Cellera de Ter,41.9672129686,2.6219197836
Talavera,41.5842519216,1.3390501508
Sant Llorenç d'Hortons,41.4680668532,1.8246009553
Esplugues de Llobregat,41.3765939787,2.085904663
Riudellots de la Selva,41.8937428292,2.8016694179
Riera de Gaià,41.1649287318,1.3616912169
Coma i la Pedra,42.1751962009,1.591017908
Blancafort,41.4378976503,1.1592745709
Tortosa,40.8109989429,0.5206321964
Renau,41.2267398294,1.312936567
Arbolí,41.2421931256,0.9486749315
Fatarella,41.1623859466,0.4730686336
Constantí,41.1530071925,1.2136958626
Sant Jordi Desvalls,42.0715585725,2.9529203046
Sora,42.1120025091,2.1605708716
Tivissa,41.0424048017,0.7327656869
Perafort,41.1901196,1.2551227
Castellví de Rosanes,41.449839959,1.899973748
Seròs,41.4638463898,0.4110664064
Flix,41.2311326173,0.5499703639
Santa Eugènia de Berga,41.9003981476,2.2830212659
Selva del Camp,41.2151675679,1.1369718442
Salomó,41.2290142563,1.3748348585
Puigverd de Lleida,41.5434430979,0.7332889701
Omellons,41.5024195206,0.9609074194
Mas de Barberans,40.7358107621,0.3730143561
Masies de Roda,41.9923366806,2.3184652586
Tremp,42.166879,0.896044
Pla del Penedès,41.4180738139,1.7107005563
Valls d'Aguilar,42.2938603035,1.3421299444
Meranges,42.4477297732,1.7885342115
Rabós,42.3792163766,3.028162085
Viladasens,42.0957519187,2.9302377399
Talamanca,41.7382261325,1.9773147786
Castellnou de Bages,41.8341587689,1.8371571801
Sant Martí de Centelles,41.7636228236,2.2512286537
Peralada,42.3080278276,3.007632623
Alp,42.3516090915,1.9029077377
Tornabous,41.7016514529,1.0529785501
Santa Maria de Miralles,41.5197203038,1.5276594594
Gimenells i el Pla de la Font,41.6524850281,0.3894837638
Vilopriu,42.1056905,2.9934954
Vall de Cardós,42.5635615015,1.226960149
Taradell,41.874370833,2.2872839632
Verges,42.0603594964,3.0468590803
Sant Joan de Vilatorrada,41.745676,1.8054902
Gualta,42.0284429597,3.1035417237
Pobla de Segur,42.24997,0.96909
Santa Eulàlia de Ronçana,41.6523554235,2.2292202246
Vila-sana,41.663384046,0.9272974412
Osor,41.9455737881,2.5570843984
Prat de Comte,40.9837083508,0.4052196994
Vilallonga de Ter,42.3316720724,2.3121132192
Bigues i Riells,41.6792814,2.2083448
Canet d'Adri,42.0333966746,2.7371617989
Canet de Mar,41.5883891,2.582129
Masroig,41.1265357105,0.7313128474
Bellcaire d'Empordà,42.0809692453,3.0944247363
Fogars de la Selva,41.734826088,2.671388309
Vall d'en Bas,42.1177626671,2.4591807511
Pau,42.3158116964,3.1172178062
Santa Coloma de Cervelló,41.3689027,2.0160603
Tordera,41.7015064905,2.7187257286
Castelldefels,41.2801450326,1.9767302235
Poal,41.67836,0.85692
Valls,41.2842672978,1.2476906078
Puigverd d'Agramunt,41.7778036267,1.1217445258
Navarcles,41.75149538,1.9039523913
Vilamòs,42.7494831207,0.7275900352
Ciutadilla,41.5616718209,1.1391469476
Riba,41.3182509404,1.177845977
Prats de Lluçanès,42.0070702,2.0309926
Morell,41.1920412823,1.208279959
Santa Coloma de Queralt,41.5529783531,1.418487233
Mollet de Peralada,42.3585137521,3.0003422175
Santa Maria de Martorelles,41.5198593948,2.2537001025
Garcia,41.1367266095,0.6488469389
Vall-llobrega,41.8804845466,3.1262819295
Riudaura,42.1886591234,2.4069101699
Sant Mori,42.156027089,2.9921321794
Gualba,41.7320243986,2.5018473344
Torroja del Priorat,41.2138889008,0.8102046092
Pera,42.0204917933,2.9733770484
Sant Miquel de Fluvià,42.1720998003,2.9919929624
Sant Feliu de Codines,41.68896,2.16444
