MUNICIPI,LATITUD,LONGITUD
Sagàs,42.0525734849,1.9635998197
Margalef,41.2844474014,0.7538307757
Ulldemolins,41.3225763649,0.8764175049
Vansa i Fórnols,42.2335387,1.4805818
Sant Llorenç Savall,41.6804686663,2.0575963004
Camós,42.0945472624,2.7672167022
Llinars del Vallès,41.6392116727,2.4043533042
Espluga de Francolí,41.3965983384,1.1045036598
Castellar del Vallès,41.6184256129,2.0874859345
Sant Julià del Llor i Bonmatí,41.973358,2.6536742
Pobla de Massaluca,41.1803356842,0.3536860168
Arbeca,41.5422311615,0.9249772045
Anglesola,41.6589680413,1.0815934625
Riudoms,41.1377115412,1.0510244325
Granyena de les Garrigues,41.4325788801,0.6500556168
Sant Mateu de Bages,41.7986062858,1.7337235103
Navàs,41.9001006425,1.8792611946
Alfara de Carles,40.8729495175,0.4004235722
Canovelles,41.6217029445,2.2769993075
Vilafranca del Penedès,41.3465132017,1.6980386889
Gavet de la Conca,42.1250395929,0.9215346656
Albiol,41.2519807351,1.0898154617
Sitges,41.2349517168,1.8117129659
Sarroca de Bellera,42.3972685683,0.8511247261
Capafonts,41.2949381748,1.026963772
Avià,42.0772395913,1.8227403036
Badia del Vallès,41.5085844973,2.115015489
Riumors,42.22678,3.04292
Masdenverge,40.7154627818,0.5312386983
Aspa,41.4955067882,0.6722452189
Alàs i Cerc,42.351508,1.5076538
Molsosa,41.7974909137,1.5792870591
Olesa de Montserrat,41.5450089109,1.8945704883
Bellpuig,41.6254759859,1.0115309607
Cardedeu,41.6427762,2.3610495
Cervià de Ter,42.0673526191,2.9120217527
Foradada,41.87689,1.01238
Capolat,42.0800524643,1.7544130082
Sant Esteve de la Sarga,42.0797325318,0.7637640655
Maçanet de Cabrenys,42.3859565172,2.7502256454
Papiol,41.4379951982,2.0109879032
Bassella,42.0725581,1.3093073
Bossòst,42.7856,0.69237
Queralbs,42.3486261308,2.1626963395
Menàrguens,41.7294763846,0.7434306655
Port de la Selva,42.3392101741,3.2042765724
Batea,41.094883407,0.3107560072
Masó,41.2346242393,1.2219911726
Alforja,41.2104827165,0.9753841712
Freginals,40.6717140882,0.5199259751
